s11yc,s11yk,s11ys,s11zg,s11jj,s11jw,id
43,22,20,180,6,9,s3423
49,17,23,150,8,7,s3424
53,26,18,130,9,7,s3425
41,16,19,110,7,6,s3426
37,13,19,125,6,6,s3427
44,18,22,145,8,6,s3428
38,16,14,115,4,4.5,s3429
54,24,27,165,4,7,s3430
57,26,17,155,7,8,s3431
51,25,22,165,8,8,s3432
46,18,19,150,7,8,s3433
50,20,26,165,8,7,s3434
46,23,22,160,8,7,s3435
55,26,21,150,9,7,s3436
56,27,21,140,8,8.5,s3437
56,25,22,165,9,8.5,s3438
48,18,19,155,8,7,s3439
65,30,21,170,9,8,s3440
52,26,18,170,8,7.5,s3441
46,22,19,155,9,6.5,s3442
48,22,23,150,8,6.5,s3443
43,25,19,160,9,8,s3444
32,15,10,105,7,4,s3445
48,23,22,145,7,7,s3446
46,19,21,135,6,6,s3447
48,22,22,145,6,7,s3448
48,22,16,135,7,6.5,s3449
51,19,27,145,6,7,s3450
35,20,19,125,7,6,s3451
54,35,19,150,8,8.5,s3452
41,22,15,115,8,6,s3453
35,16,23,125,8,5.5,s3454
47,27,22,140,7,7,s3455
68,32,18,135,7,8,s3456
60,31,22,145,9,7.5,s3457
56,27,23,155,8,7.5,s3458
61,37,23,165,10,9,s3459
40,29,16,140,7,6,s3460
55,25,19,150,8,7,s3461
51,21,22,145,7,8,s3462
45,17,21,135,7,6,s3463
51,25,20,135,8,6,s3464
60,33,20,165,9,9,s3465
68,28,23,145,7,9,s3466
47,20,27,150,7,7.5,s3467
44,17,22,135,6,6,s3468
50,22,22,150,8,7,s3469
48,17,21,145,8,7,s3470
66,30,23,175,7,9,s3471
55,28,22,165,9,7,s3472
47,24,24,155,6,7.5,s3473
45,24,23,150,7,7,s3474
64,30,29,195,8,8,s3475
63,33,21,155,6,10,s3476
50,28,20,145,8,7,s3477
55,24,20,170,8,7.5,s3478
55,24,19,140,8,8,s3479
60,30,21,155,8,8,s3480
43,17,22,155,8,6.5,s3481
36,15,18,120,8,6,s3482
47,21,23,150,9,6.5,s3483
50,21,22,150,7,7.5,s3484
63,32,18,160,7,8,s3485
48,21,19,130,8,7,s3486
64,25,21,140,7,7.5,s3487
52,24,21,140,8,7.5,s3488
49,23,21,130,6,7,s3489
55,30,22,145,6,8.5,s3490
44,20,22,130,8,6.5,s3491
35,17,22,120,6,5,s3492
47,18,21,125,8,7,s3493
35,15,22,135,7,6.5,s3494
54,26,23,145,8,7.5,s3495
55,26,23,135,6,7.5,s3496
48,26,19,135,6,7.5,s3497
51,23,21,140,7,7.5,s3498
62,27,21,155,7,9,s3499
55,26,21,140,7,9,s3500
34,15,19,95,2.5,6,s3501
38,15,26,120,3,7,s3502
35,13,23,95,3.5,5,s3503
40,18,22,95,4.5,6,s3504
42,20,22,105,3,7,s3505
61,31,22,145,5,10,s3506
41,16,22,125,4,7,s3507
47,23,22,140,4,7.5,s3508
56,24,22,145,6.5,8,s3509
50,27,23,150,6,9,s3510
45,26,25,148,6,9,s3511
42,16,23,130,5,7,s3512
48,26,20,135,5,7.5,s3513
55,31,14,147,6,7.5,s3514
47,24,17,136,4,7,s3515
46,18,18,125,4,6.5,s3516
30,14,11,80,4,4.5,s3517
45,21,21,115,4,7,s3518
48,20,21,125,5,7,s3519
50,30,19,125,5,8,s3520
35,15,22,130,3,9,s3521
50,21,30,153,4,9,s3522
49,25,23,150,4,7,s3523
48,24,19,160,4,7,s3524
66,43,22,165,6,9,s3525
56,30,21,170,5,10,s3526
60,21,20,165,6,8,s3527
46,28,22,150,6,7,s3528
40,20,22,150,5.5,7,s3529
43,24,19,125,6,7,s3530
40,19,20,115,4,7,s3531
43,17,20,140,7,7.5,s3532
42,20,19,150,7,8,s3533
58,30,20,170,7,9.5,s3534
40,14,16,135,7,7,s3535
60,33,19,163,6,9,s3536
53,24,23,180,7,8,s3537
66,24,23,155,6,7.5,s3538
47,20,22,140,6,8,s3539
53,25,22,160,7,7,s3540
55,31,18,165,8,7.5,s3541
57,23,24,145,5,7,s3542
48,25,20,150,6,8.5,s3543
51,29,16,145,6,7.5,s3544
50,28,20,150,6,7,s3545
50,24,21,160,5,8,s3546
50,22,21,135,5,7,s3547
27,12,18,90,4,4.5,s3548
48,30,21,135,5,7,s3549
45,20,22,145,6,7,s3550
55,22,22,130,6,7,s3551
52,21,23,140,6,8,s3552
50,24,23,135,5,8,s3553
38,13,21,115,5,6,s3554
41,16,20,125,5,5.5,s3555
48,25,17,120,5,6.5,s3556
43,20,23,135,5,7.5,s3557
48,28,24,135,5,8,s3558
40,20,22,130,5.5,6.5,s3559
40,19,22,130,6,6,s3560
40,18,15,125,6.5,6,s3561
47,24,23,140,5,6.5,s3562
53,27,22,140,4.5,7.5,s3563
46,21,18,130,6,7,s3564
46,23,21,130,5,6.5,s3565
42,19,24,135,6,6,s3566
46,20,17,120,5,6,s3567
46,18,22,125,5,6.5,s3568
51,21,18,132,4,8.5,s3569
53,22,21,130,5,7.5,s3570
58,28,22,145,6,9,s3571
47,23,18,150,6,7.5,s3572
50,21,15,140,7,7,s3573
55,26,20,150,5.5,7.5,s3574
60,28,23,155,6,9,s3575
47,20,16,135,8,7,s3576
46,25,19,140,4,8,s3577
47,19,20,125,7,8,s3578
47,23,17,145,10,9,s3579
50,26,19,165,6,8,s3580
57,29,18,165,8,9,s3581
50,25,16,155,9,9,s3582
48,23,19,155,9,7,s3583
60,30,17,150,7,9,s3584
60,31,17,145,7,9,s3585
49,22,17,145,7.5,8,s3586
45,23,16,145,8,8,s3587
51,23,20,135,7.5,6.5,s3588
53,46,22,145,5,7.5,s3589
46,24,18,150,7,7.5,s3590
52,24,17,150,5,8,s3591
40,16,20,125,4,5.5,s3592
55,24,23,165,5.5,7,s3593
46,22,20,145,6.5,7,s3594
50,25,20,150,5,7,s3595
45,22,18,125,5,7,s3596
50,21,23,155,5,7,s3597
50,23,22,145,6,7,s3598
43,17,23,150,5.5,6,s3599
50,21,22,155,6.1,7,s3600
50,22,22,130,7,7,s3601
46,21,22,145,5,7,s3602
45,22,22,135,5.5,6.5,s3603
40,16,21,120,5,5.5,s3604
60,27,24,155,6,9.5,s3605
40,19,23,130,5,6,s3606
44,22,24,135,5,6.5,s3607
40,19,20,115,5,6,s3608
40,18,22,125,5,6,s3609
46,23,20,120,5.5,6.5,s3610
35,11,20,110,6,5,s3611
48,21,23,140,4,7,s3612
48,23,21,130,5,6.5,s3613
40,19,24,145,6,6,s3614
50,25,22,145,6,6.5,s3615
61,25,20,160,8,7.5,s3616
43,20,20,150,6,7,s3617
43,20,21,145,7.5,6.5,s3618
46,22,21,150,6,7,s3619
48,27,23,150,6,7,s3620
50,24,23,145,8,8,s3621
52,25,21,150,9,8,s3622
51,24,23,140,6,8.5,s3623
48,25,18,140,10,6.5,s3624
51,26,20,165,11,7.5,s3625
46,23,23,145,6.5,7.5,s3626
46,22,20,135,6,6.5,s3627
40,21,22,120,5,7,s3628
47,21,24,145,6,7,s3629
44,19,16,135,5,6,s3630
49,21,26,140,7,7.5,s3631
50,23,21,133,3,8,s3632
48,23,23,130,5,7,s3633
38,15,22,115,6,6,s3634
55,25,18,134,5,8,s3635
49,21,23,135,5,6,s3636
49,22,20,130,6,6,s3637
42,18,23,150,7,6.5,s3638
43,21,20,150,8,6,s3639
48,23,24,150,6,6,s3640
47,20,24,165,7,7,s3641
49,22,23,155,6,7.5,s3642
42,14,24,145,7,6,s3643
48,26,26,165,5,8,s3644
60,32,23,150,5,8,s3645
45,21,24,150,8,6.5,s3646
48,28,23,135,5.5,7,s3647
45,22,24,145,5,7,s3648
40,18,26,125,5,6,s3649
50,23,24,145,6,7,s3650
45,22,24,130,5.5,7,s3651
45,24,15,95,6,6.5,s3652
44,20,22,110,5,5.5,s3653
51,24,20,145,5,8,s3654
43,29,23,155,8,8.5,s3655
40,25,22,150,4,9,s3656
41,16,15,115,4,6.5,s3657
42,18,20,135,5,6.5,s3658
47,19,24,140,4,7,s3659
52,29,23,140,4,9,s3660
52,25,22,130,5,8,s3661
28,11,18,90,4,5,s3662
48,24,22,115,4,7,s3663
37,18,22,125,7,7,s3664
46,21,23,125,5,7.5,s3665
42,17,24,125,5,6,s3666
49,22,20,140,5,8,s3667
48,22,22,140,6,7,s3668
46,20,23,140,7,6.5,s3669
50,24,23,155,6,7,s3670
48,23,20,130,7,7,s3671
57,26,25,140,6,7,s3672
46,20,22,140,7,7,s3673
46,24,22,130,5,8,s3674
48,24,22,115,4,7.5,s3675
47,25,23,130,5,7,s3676
31,13,20,95,7,5,s3677
49,24,21,135,6,7.5,s3678
45,20,26,130,6,7.5,s3679
50,23,24,145,6.5,8,s3680
50,24,28,135,6,9,s3681
40,20,24,140,6,7.5,s3682
40,21,24,125,6,7.5,s3683
50,24,28,140,6,8,s3684
47,20,20,100,6,8,s3685
50,26,26,140,6,8.5,s3686
50,24,22,150,6,8,s3687
45,17,20,105,6,5.5,s3688
54,26,29,150,5,9,s3689
50,23,20,130,6,8.5,s3690
57,34,22,145,5,8.5,s3691
55,29,24,145,5,9,s3692
41,18,24,120,5,6.5,s3693
55,26,23,145,5,7,s3694
38,12,22,150,8,6,s3695
55,26,12,142,6,9,s3696
54,24,23,160,7,9,s3697
52,22,19,144,9,7,s3698
47,20,21,145,8,7,s3699
53,22,22,170,10,9,s3700
48,23,24,150,6,7,s3701
52,23,24,150,5,7,s3702
46,20,24,140,6,7,s3703
46,21,26,150,6,7,s3704
48,25,16,105,5,9,s3705
